park_num,site_name,physical,visual,haptic,component_sum,physical_share,visual_share,haptic_share,ternary_x,ternary_y
2,Drummond Walk Dog off leash trail,0.06534324839915794,0.8455282390624564,0.8282125227446766,1.739084010206291,0.037573370818012916,0.48619171592645455,0.4762349132555325,0.7243091725542208,0.41243153304836966
6,Burnaby Fraser Foreshore Park,0.2868937209226006,0.1727387037712925,0.7343905539559858,1.1940229786498788,0.24027487414605775,0.14466949703649243,0.6150556288174499,0.45219731144521735,0.5326537992965238
7,Deer lake (lakefront),0.429530343701808,0.994904881277802,0.7078283788047999,2.13226360378441,0.20144335950745662,0.46659563081788424,0.331961009674659,0.6325761356552138,0.2874866674441865
8,Burnaby Lake,0.25524190997359913,0.9712974466865992,1,2.226539356660198,0.11463615462717945,0.43623637003369314,0.44912747533912756,0.6608001077032569,0.38895580318125345
10,Kings Mill Walk Park,0.04167570523649491,0.3838644196125591,0.8075957497217395,1.2331358745707934,0.03379652323471702,0.31129125956713194,0.6549122171981512,0.6387473681662075,0.5671706173423908
11,Waterfront Park,0.7108818688777763,0.24718921839253677,0.6523851771088006,1.6104562643791138,0.4414164386835091,0.15349017782102684,0.4050933834954639,0.3560368695687588,0.35082116101206356
12,Lynnmouth Park (riverfront),0.5043922487630466,0.23778137184615797,0.3596503467159861,1.1018239673251906,0.45777934018581845,0.21580704259265723,0.32641361722152434,0.3790138512034194,0.2826824846550098
13,Spanish Banks Beach Park and Extension,0.1541533772850595,0.8668715258411281,0.7799491135514729,1.8009740166776607,0.08559444825830043,0.48133483204843,0.43307071969326955,0.6978701918950647,0.37505024488958116
14,Locarno Beach Park,0.2102579913998797,0.8507385951553779,0.7684614060124404,1.829457992567698,0.1149291168499455,0.46502220800453653,0.42004867514551797,0.6750465455772955,0.3637728235020157
15,Jericho Beach Park,0.26809951227319706,0.9090480181924928,0.6993678287176613,1.876515359183351,0.14287093945762985,0.48443409415423355,0.37269496638813676,0.6707815773483019,0.32276330875471393
16,Kitsilano Beach Park,0.37323934478874526,0.909775933934774,0.7442936137819245,2.0273088925054434,0.18410580951355596,0.44876039231023657,0.3671337981762076,0.6323272913983404,0.3179471958084648
17,Sunset Beach Park,0.8074457318480148,0.4926248849324661,0.3404925148179815,1.6405631315984626,0.4921759585449723,0.3002779200898432,0.20754612136518438,0.4040509807724354,0.1797402135591779
18,English Bay Beach Park,0.7033757179499104,0.8224692441534524,0.7334982214351163,2.259343183538479,0.31131867131770385,0.3640302412426513,0.3246510874396449,0.5263557849624738,0.28115608908897555
21,John Hendry (Trout Lake) Park,0.525616693620206,0.9957585720577378,0.6052863360907611,2.126661601768705,0.24715577371738898,0.4682261490166484,0.2846180772659626,0.6105351876496297,0.2464864852886058
22,Don Roberts Park,0.14380939236779308,0.02929494707122,0.3195665390570652,0.49267087849607827,0.29189748906366064,0.05946149518852309,0.6486410157478164,0.38378200306243127,0.5617395975741512
24,Maquabeak Park,0.2105235500709274,9.0119552239862e-4,0.332030225411134,0.54345497100446,0.3873799326590384,0.0016582708236764366,0.6109617965172851,0.307139169082319,0.5291084365257478
25,Coquitlam River Park,0.5355787484947355,0.02517318117251796,0.3539909548591147,0.9147428845263682,0.5854964903848859,0.027519406380025604,0.3869841032350885,0.22101145799756983,0.33513806426232634
26,Captain's Cove Park,0.3472112347725191,0.1901267643171808,0.8103714479623837,1.3477094470520836,0.2576306306466818,0.1410740013235458,0.6012953680297725,0.44172168533843204,0.5207370638916963
31,Fred Gingell Park,0.18528942413248853,0.9274596394210974,0.24357295806302048,1.3563220216166063,0.13661167567834756,0.6838048963590919,0.1795834279625607,0.7735966103403723,0.15552381071427027
32,Panorama Park,0.3345398334225379,0.36100629616022367,0.25961628667287384,0.9551624162556355,0.35024392472850724,0.37795278584705694,0.2718032894244357,0.5138544305592748,0.23538855347373558
