pair,x_dimension,y_dimension,n,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,x_median,y_median
Physical vs haptic,Physical access,Haptic access,114,0.024408401149645324,0.7965792298288175,0.022571434357343923,0.8115930493459461,0.19230268372820103,0.37501999803951636
Physical vs visual,Physical access,Visual access,114,0.05631715383717835,0.5517441749500303,0.11497367357562113,0.2231866575221954,0.19230268372820103,0.3496477520593829
Visual vs haptic,Visual access,Haptic access,114,0.2669334964316627,0.004092460164621965,0.29375860678360605,0.0015128235340926208,0.3496477520593829,0.37501999803951636
