model,term,estimate,std_error,statistic.x,p_value,conf_low,conf_high,percent_change,percent_change_low,percent_change_high,BH_q,N_waterfronts,N_observations,k_neighbors,residual_Moran_I,expected_I,statistic.y,residual_Moran_p
physical,z_physical_access,0.4949226544070049,0.10725527336895707,4.614436557394021,3.957479477900705e-6,0.28470231860384904,0.7051429902101607,64.03713586548199,32.936624161645646,102.4136095876131,1.582991791160282e-5,98,30946,7,-0.029417600965262837,-0.010309278350515464,-0.48406296968917795,0.6283411805007918
visual,z_visual_access,-0.17345387006487556,0.10729694702338663,-1.616577869891016,0.10597965929629671,-0.38375588623071333,0.03684814610096224,-15.924406571595306,-31.870227896390023,3.7535455070729418,0.14130621239506228,98,30946,7,-0.0038071313436947732,-0.010309278350515464,0.13902266559252313,0.8894322384142692
haptic,z_haptic_access,-0.2481258437438001,0.10130487251575589,-2.4492982181603282,0.014319011280890637,-0.4466833938746816,-0.04956829361291856,-21.97382539598558,-36.0253576149285,-4.835983502788588,0.028638022561781273,98,30946,7,-0.048375045118252705,-0.010309278350515464,-0.8246658436210312,0.4095613284824083
multidimensional,z_multidimensional_access,-0.025472277891019246,0.1126779321863948,-0.22606270275604928,0.8211541505806945,-0.24632102497635305,0.19537646919431456,-2.515059652744589,-21.832875135130724,21.57685997709031,0.8211541505806945,98,30946,7,-0.02924994475249116,-0.010309278350515464,-0.41129189117630927,0.680858514759614
