model,term,term_label,estimate,std_error,statistic,p_value,conf_low,conf_high,percent_change,percent_change_low,percent_change_high
physical,(Intercept),Intercept,-3.615700090709797,0.15156501428547012,-23.85576980120021,0,-3.9127675187093183,-3.3186326627102756,-97.3101912477236,-98.00148847239986,-96.37977013196877
physical,z_physical_access,Physical accessibility,0.4949226544070049,0.10725527336895709,4.614436557394021,3.957479477900705e-6,0.284702318603849,0.7051429902101608,64.03713586548199,32.936624161645625,102.41360958761314
physical,day_typeweekend,Weekend (vs weekday),0.2144529744915282,0.00814695750590287,26.323075127880116,0,0.19848493777995857,0.23042101120309783,23.91838463538378,21.955365809035943,25.913000619323114
physical,time_of_dayafternoon,Afternoon (vs morning),0.34928908081289584,0.0095046289584625,36.74936521345256,0,0.33066000805430934,0.36791815357148233,41.80590647628924,39.18864816587697,44.47237886524662
physical,time_of_dayevening,Evening (vs morning),-0.07158323980386709,0.01025638443952289,-6.979383449007789,3.0246916082887765e-12,-0.09168575330533196,-0.051480726302402226,-6.908121512740195,-8.760817938611654,-5.017804363305833
physical,seasonfall,Fall (vs winter),0.36465013231222465,0.01159985874407378,31.43573903419469,0,0.34191440917384003,0.3873858554506093,44.00101069984832,40.76398113035338,47.312479485608975
physical,seasonspring,Spring (vs winter),0.40256003773136656,0.01155936176733928,34.825455404362465,0,0.37990368866738156,0.42521638679535156,49.56487178853855,46.2143761638514,52.99214386452669
physical,seasonsummer,Summer (vs winter),0.5429037087682872,0.01152785409668445,47.09494969444771,0,0.5203091147387857,0.5654983027977887,72.09968876412351,68.25476696052213,76.03247389512337
physical,site_typebeach,Beach (vs riverfront),0.02252042617240768,0.2575066167121492,0.08745571845861297,0.9303098498262116,-0.4821925425834047,0.5272333949282201,2.2775925348467396,-38.25718308956488,69.42385297869652
physical,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs riverfront),0.35968021479974865,0.26933873367093836,1.33541956590315,0.18174891970305307,-0.16822370319529056,0.8875841327947879,43.28711303066453,-15.483525251881701,142.9253801918607
physical,site_typelakefront,Lakefront (vs riverfront),-0.25309026312897487,0.33496284512299185,-0.7555771238927859,0.4499085459430811,-0.9096174395700389,0.4034369133120892,-22.36022014338094,-59.73217566671818,49.69607909017601
physical,z_log_site_area,Log site area,0.22296432581374148,0.08442960187906,2.6408311877761026,0.00827445852319241,0.057482306130783895,0.3884463454966991,24.97759881993278,5.916652973487779,47.46878576974849
physical,z_log_population_density_10min,Log 10-minute population density,0.2268575067797478,0.11324944215159802,2.00316665998294,0.04516813634037842,0.004888600162615692,0.4488264133968799,25.465107593015503,0.49005688638410483,56.64727149199027
visual,(Intercept),Intercept,-3.8689549488052486,0.17987589625398878,-21.509023884679905,0,-4.221511705463066,-3.5163981921474305,-97.91198211168818,-98.53235587296922,-97.02937611263394
visual,z_visual_access,Visual accessibility,-0.17345387006487556,0.10729694702338664,-1.616577869891016,0.10597965929629671,-0.3837558862307134,0.036848146100962265,-15.924406571595306,-31.870227896390023,3.7535455070729418
visual,day_typeweekend,Weekend (vs weekday),0.2144366889579196,0.00814693203020343,26.32115846344738,0,0.19846870217872087,0.23040467573711831,23.91636657479872,21.95338580642119,25.910943788584806
visual,time_of_dayafternoon,Afternoon (vs morning),0.34930991850305615,0.00950459563820742,36.751686426181955,0,0.3306809110521696,0.3679389259539427,41.808861414618235,39.191557656300176,44.4753799319249
visual,time_of_dayevening,Evening (vs morning),-0.07157232434259903,0.01025634792194187,-6.978344035061553,3.047118113386205e-12,-0.09167476626960509,-0.05146988241559296,-6.907105366400357,-8.759815484951671,-5.016774381542966
visual,seasonfall,Fall (vs winter),0.3646629940649138,0.01159981434708982,31.43696814047727,0,0.34192735794461776,0.38739863018520987,44.00286281714565,40.76580386267985,47.314361375458056
visual,seasonspring,Spring (vs winter),0.4025643091300369,0.01155931774409213,34.82595755582409,0,0.3799080463516163,0.42522057190845747,49.56551064109742,46.215013321321564,52.99278415529292
visual,seasonsummer,Summer (vs winter),0.542912390790913,0.01152781359709595,47.09586828569828,0,0.520317876140605,0.5655069054412211,72.1011829440015,68.25624111460131,76.03398824624253
visual,site_typebeach,Beach (vs riverfront),0.46780850713824407,0.3140387956987057,1.4896519587569292,0.1363259979512772,-0.14770753243121904,1.0833245467077073,59.64916566577929,-13.731661503792491,195.44855670194613
visual,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs riverfront),0.8016531066475849,0.2865188265436817,2.797907266053135,0.0051466764801884,0.24007620662196882,1.363230006673201,122.9223027608569,27.134603161628256,290.87983784419345
visual,site_typelakefront,Lakefront (vs riverfront),0.16402158810285528,0.38260915805568807,0.4286922689889776,0.6681501814594901,-0.5858923616862933,0.9139355378920039,17.823975077909516,-44.339105636577,149.41189432778108
visual,z_log_site_area,Log site area,0.3017024370727235,0.10371419956124654,2.9089790824115513,0.00362869946815846,0.09842260593268026,0.5049822682127667,35.21588145059877,10.342900223114238,65.69561394066434
visual,z_log_population_density_10min,Log 10-minute population density,0.5116287946164251,0.10614394168333682,4.820141277047976,1.4413874822594153e-6,0.3035866689170849,0.7196709203157652,66.80058224641854,35.4708997015962,105.37572496402645
haptic,(Intercept),Intercept,-3.7244181813936046,0.16041151479675542,-23.21789795522171,0,-4.0388247503952455,-3.410011612391964,-97.58728660406076,-98.23818340041963,-96.69591833092551
haptic,z_haptic_access,Haptic accessibility,-0.2481258437438001,0.10130487251575589,-2.4492982181603278,0.01431901128089063,-0.4466833938746816,-0.04956829361291856,-21.97382539598558,-36.0253576149285,-4.835983502788588
haptic,day_typeweekend,Weekend (vs weekday),0.21444228351603584,0.00814692562431977,26.321865867523567,0,0.1984743092923691,0.23041025773970258,23.917059834052303,21.954069614832285,25.91164662576002
haptic,time_of_dayafternoon,Afternoon (vs morning),0.34931362888144935,0.00950458879688125,36.75210325733081,0,0.3306846348395621,0.36794262292333657,41.80938758012973,39.19207597703278,44.47591405397
haptic,time_of_dayevening,Evening (vs morning),-0.07156773162924825,0.01025634058255129,-6.977901236139095,3.056666031397981e-12,-0.09167015917104877,-0.05146530408744772,-6.9066778164385,-8.759395131461002,-5.016339516172308
haptic,seasonfall,Fall (vs winter),0.3646666131630276,0.01159980620679964,31.437302198140618,0,0.3419309929977003,0.38740223332835494,44.00338397857793,40.7663155547791,47.31489217114569
haptic,seasonspring,Spring (vs winter),0.4025590347307642,0.01155930934877262,34.82552655911992,0,0.37990278840716984,0.4252152810543586,49.56472177495728,46.2142445329254,52.99197469493513
haptic,seasonsummer,Summer (vs winter),0.5429127954733222,0.0115278049244082,47.095938822125184,0,0.5203182978214821,0.5655072931251622,72.10125259033693,68.2563120650556,76.03405649180608
haptic,site_typebeach,Beach (vs riverfront),0.21478773950125607,0.2728116110662897,0.7873115761523266,0.4311055447211345,-0.31992301818867175,0.7494984971911839,23.959875119015315,-27.379506050643375,111.59386013316981
haptic,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs riverfront),0.6055749958958287,0.2816816513258454,2.149856027346659,0.03157435668632447,0.053478959297171835,1.1576710324944857,83.23054741726992,5.4934794964550004,218.25126697011265
haptic,site_typelakefront,Lakefront (vs riverfront),-0.1315558301707469,0.3620899810161485,-0.36332358548434895,0.7163656667799589,-0.841252192962398,0.5781405326209041,-12.326967423240298,-56.88297231330881,78.27204363574805
haptic,z_log_site_area,Log site area,0.4482248815190033,0.1285156515453441,3.4877065643701486,4.878607871652285e-4,0.19633420449012884,0.7001155585478778,56.553071499595056,21.693354203456217,101.39854272552577
haptic,z_log_population_density_10min,Log 10-minute population density,0.4880301703750192,0.10494980332753658,4.650129441900255,3.331005923978836e-6,0.2823285558530475,0.6937317848969909,62.91039999097572,32.62143839111364,100.11695505029303
multidimensional,(Intercept),Intercept,-3.761389135442315,0.17981404763912204,-20.918216261897616,0,-4.113824668814994,-3.408953602069636,-97.6748581439201,-98.36548599228973,-96.69242072849033
multidimensional,z_multidimensional_access,Multidimensional accessibility,-0.02547227789101924,0.1126779321863948,-0.22606270275604928,0.8211541505806945,-0.24632102497635305,0.19537646919431456,-2.515059652744589,-21.832875135130724,21.57685997709031
multidimensional,day_typeweekend,Weekend (vs weekday),0.21443570633646009,0.0081469409321719,26.32100909062236,0,0.19846770210940315,0.23040371056351702,23.91624481197756,21.953263844642823,25.910822262724388
multidimensional,time_of_dayafternoon,Afternoon (vs morning),0.3493116165407421,0.00950460597581932,36.75182510768213,0,0.3306825888281362,0.367940644253348,41.809102211613556,39.19179118874627,44.4756281840976
multidimensional,time_of_dayevening,Evening (vs morning),-0.07157078084842046,0.01025635905691577,-6.978185967481404,3.0504487824600797e-12,-0.09167324459997536,-0.05146831709686555,-6.906961677948531,-8.75967664742825,-5.016625702404742
multidimensional,seasonfall,Fall (vs winter),0.3646657875739511,0.01159982657544703,31.43717582345818,0,0.3419301274860749,0.38740144766182727,44.003265091006206,40.76619371994925,47.31477643081134
multidimensional,seasonspring,Spring (vs winter),0.4025638347735449,0.01155932988837575,34.82587993084007,0,0.3799075481923284,0.4252201213547614,49.56543969374329,46.214940482972786,52.99271522384408
multidimensional,seasonsummer,Summer (vs winter),0.5429147703220651,0.01152782615263055,47.096023407516114,0,0.5203202310629093,0.565509309581221,72.10159246461487,68.2566373454429,76.03441145710374
multidimensional,site_typebeach,Beach (vs riverfront),0.23220956773679544,0.30881993258006674,0.7519254531168944,0.452101628296794,-0.3730775001201353,0.8374966355937262,26.1384046530992,-31.138813672622177,131.05755182296573
multidimensional,site_typecoastal waterfront without beach,Coastal waterfront without beach (vs riverfront),0.687488701143252,0.2953171407062465,2.327967484376739,0.01992026330826757,0.10866710535900892,1.266310296927495,98.87149992494584,11.479118055482829,254.7738282492859
multidimensional,site_typelakefront,Lakefront (vs riverfront),-0.01187296070997945,0.3781189004174902,-0.03140007203255439,0.9749506868847448,-0.7529860055282602,0.7292400841083013,-1.1802755235605034,-52.904183262713055,107.35043199426993
multidimensional,z_log_site_area,Log site area,0.24430165505160772,0.12027728505072882,2.031153720742613,0.0422479612628539,0.008558176352179231,0.4800451337510362,27.6729404281145,0.8594902237522684,61.614734333865925
multidimensional,z_log_population_density_10min,Log 10-minute population density,0.5078350434884964,0.11089661316725444,4.579355752935203,4.682314628023931e-6,0.29047768168067767,0.7251924052963151,66.1689811755484,33.70660274512072,106.5128403386002
