variable,variable_label,N,mean,SD,median,Q1,Q3,minimum,maximum
mean_activity_index,Mean Mapbox activity index,103,0.11987618067661449,0.16756756776412773,0.0521951419545596,0.028559883097623386,0.13196280954470296,0.0030347142857142856,0.8528198500462963
physical_access_score,Physical accessibility,103,0.24755938123212504,0.15933365521036513,0.1976286167284997,0.11492014508652684,0.3455845672335312,0.0532183416564242,0.6952169468143159
visual_access_score,Visual accessibility,103,0.43092246021311953,0.33275795339261255,0.3610062961602236,0.1115626031210841,0.7661650075477104,0,0.9957585720577378
haptic_access_score,Haptic accessibility,103,0.3619037720575776,0.12030817385863697,0.3872646102555562,0.2747564977219178,0.45428632592114526,0.0566729442546991,0.5954530487497928
multidimensional_access_score,Multidimensional accessibility,103,0.4423196150402462,0.17023346019071686,0.4221817840465717,0.322670380455513,0.5829795525373319,0.0696973322906145,0.8117446191561352
site_area_m2,Site area (m2),103,70408.1957734739,144895.96165038116,27947.731811538804,10573.15800289606,74479.74261916983,539.6062632761896,1106373.946985513
population_density_km2_10min,10-minute population density (people/km2),98,4494.364508158994,5792.770611292979,2640.381302101324,840.585345164249,5028.935530395612,5.355525827873969,28466.416365532434
coverage_pct,Temporal coverage (%),103,87.57281553398059,24.160529395151315,99.16666666666669,90.55555555555556,100,3.888888888888889,100
