dimension,category,N_waterfronts,mean_activity,SD,median_activity,SE,conf_low,conf_high
day_type,weekday,103,0.10794430756694544,0.15921610776269757,0.042926271505731924,0.01568802925339471,0.07719577023029181,0.13869284490359907
day_type,weekend,103,0.13223342059709425,0.17664900994299734,0.06741276761904762,0.017405744145557064,0.0981181620718024,0.1663486791223861
time_of_day,morning,103,0.1123724893099706,0.15298853550497263,0.05101702409096026,0.015074408325652702,0.0828266489916913,0.1419183296282499
time_of_day,afternoon,103,0.13478449745599128,0.1842737478788717,0.06301441764880952,0.018157031898211762,0.09919671493549623,0.17037227997648632
time_of_day,evening,103,0.11142184015696388,0.17119190398105072,0.03916996247519841,0.01686803951772197,0.07836048270222881,0.14448319761169895
season,winter,103,0.08624789366069481,0.11350886198577456,0.03900477538230739,0.011184360504569363,0.06432654707173886,0.10816924024965076
season,spring,103,0.12512085025084982,0.1804505787385711,0.053733795158730155,0.01778032384928052,0.09027141550626,0.15997028499543964
season,summer,103,0.1398500656051986,0.201523355089394,0.06308389814814815,0.019856686200347914,0.1009309606525167,0.17876917055788052
season,fall,103,0.12691198555544073,0.17832942429720988,0.05501003451958535,0.017571320291822377,0.09247219778346887,0.16135177332741257
