model,N_waterfronts,N_observations,k_neighbors,residual_Moran_I,expected_I,statistic,residual_Moran_p
physical,98,30946,7,-0.029417600965262837,-0.010309278350515464,-0.48406296968917795,0.6283411805007918
visual,98,30946,7,-0.0038071313436947732,-0.010309278350515464,0.13902266559252313,0.8894322384142692
haptic,98,30946,7,-0.048375045118252705,-0.010309278350515464,-0.8246658436210312,0.4095613284824083
multidimensional,98,30946,7,-0.02924994475249116,-0.010309278350515464,-0.41129189117630927,0.680858514759614
