park_num,PARK_NAME,bus_stops_05min,bus_stops_10min,bus_stops_20min,bus_stops_30min
35,Deep Cove’s Parkside Beach,1,5,13,27
42,Emmeline Mohun Park (riverfro,0,3,13,29
49,Kanaka Creek Regional Park (riverfront) 1,12,26,50,114
75,Erwin Park,2,7,21,41
79,Larson Bay Park,0,4,15,23
106,Deering Island Park,0,0,0,19
111,Vanier Park,0,2,36,119
129,Cross's Cabins,1,3,14,31
134,Marina Park,0,3,18,24
142,Strathcona Park,2,4,23,43
