park_num,PARK_NAME,MUNI,access_point_count,routing_origin_point_count,origin_node_count,avg_snap_distance_m,max_snap_distance_m,far_snap_count_gt_50m,reachable_node_count_30min,status,bus_stops_05min,bus_stops_10min,bus_stops_20min,bus_stops_30min
86,Sandy Cove Park,West Vancouver,1,1,1,0.01,0.01,0,2104,success,8,11,24,50
87,Kew Beach Park,West Vancouver,1,1,1,0.0,0.0,0,2565,success,2,6,13,21
88,Garrow Bay Park,West Vancouver,1,1,1,0.0,0.0,0,3653,success,1,8,17,19
89,Citrus Park,West Vancouver,3,3,3,0.0,0.0,0,666,success,0,2,3,5
90,Dundarave Park,West Vancouver,16,16,16,0.0,0.0,0,6011,success,8,18,60,107
91,Ambleside Park 1,West Vancouver,34,34,34,0.0,0.0,0,8902,success,10,29,74,123
93,Memorial Park (including Totem Park parcel),White Rock,37,37,37,0.0,0.0,0,9963,success,30,51,121,171
97,Maplewood Farm,North Vancouver - District,20,20,20,0.0,0.0,0,8583,success,11,17,60,110
98,Sutcliffe Park,Vancouver,12,12,12,0.0,0.0,0,24628,success,9,25,118,269
99,Gladstone-Riverside Park,Vancouver,6,6,6,0.0,0.0,0,10186,success,5,11,42,91
100,Kinross Corridor – South,Vancouver,3,3,3,0.0,0.0,0,8189,success,0,6,29,77
101,New Brighton Park,Vancouver,7,7,7,0.0,0.0,0,9401,success,0,4,26,94
102,David Lam Park,Vancouver,19,19,19,0.0,0.0,0,26157,success,13,31,126,328
103,Coopers' Park,Vancouver,23,23,23,0.0,0.0,0,29365,success,7,36,207,362
104,Creekside Park,Vancouver,16,16,16,0.0,0.0,0,28686,success,17,53,206,364
105,Riverfront Park,Vancouver,8,8,8,0.0,0.0,0,10861,success,5,10,37,99
106,Deering Island Park,Vancouver,2,2,2,0.0,0.0,0,2956,success,0,0,0,24
108,Charleson Park,Vancouver,15,15,15,0.0,0.0,0,28499,success,5,25,109,301
110,Hadden Park,Vancouver,6,6,6,0.0,0.0,0,14234,success,0,6,35,147
111,Vanier Park,Vancouver,9,9,9,0.0,0.0,0,18696,success,0,3,77,206
112,George Wainborn Park,Vancouver,13,13,13,0.0,0.0,0,26026,success,7,32,130,306
113,Habitat Island Park,Vancouver,7,7,7,0.0,0.0,0,26891,success,1,14,133,336
