park_num,PARK_NAME,bus_stops_05min,bus_stops_10min,bus_stops_20min,bus_stops_30min
35,Deep Cove’s Parkside Beach,1,5,9,20
42,Emmeline Mohun Park (riverfro,0,2,13,28
49,Kanaka Creek Regional Park (riverfront) 1,10,23,47,112
75,Erwin Park,1,6,19,40
79,Larson Bay Park,0,2,14,23
106,Deering Island Park,0,0,0,16
111,Vanier Park,0,2,34,117
129,Cross's Cabins,1,1,14,28
134,Marina Park,0,3,13,15
142,Strathcona Park,0,0,17,39
